id,operator
0,Albwerk Elektro- und Kommunikationstechnik GmbH
1,smopi® - Multi Chargepoint Solution GmbH
2,EnBW mobility+ AG und Co.KG
3,SWU Energie GmbH
4,Shell Deutschland GmbH
5,EnBW Ostwürttemberg DonauRies AG
6,LAN1 Hotspots GmbH
7,Physiotherapie im Stadtgarten
8,Solarcollect
9,Christian Uhlrich
10,Christian  Dillschneider
11,Irmgard Stängle
12,Joachim Stader
13,Johannes Stängle
14,autohaus Langenau GmbH
15,Pension Engel
16,Christina Baumgartl
17,Markus Härle
18,OMS Prüfservice GmbH
19,TZB Service GmbH
20,Autohaus Burger GmbH & Co. KG
21,Mattheis Gastronomie & Event GmbH
22,Citywatt GmbH
23,Jllig Automobile Gmbh & Co. KG
24,Häberle Feinmechanik CNC-Technik GmbH
25,ALDI SÜD Immobilienverwaltungs-GmbH & Co. oHG
26,Katrin Schneiderhan
27,Stephen  Böhm
28,Lidl Dienstleistung GmbH & Co. KGe
29,Allego GmbH
30,Kiesling Fahrzeugbau GmbH
31,Patrick Weggler
32,Würth Elektrogroßhandel GmbH & Co. KG
33,Gemeinde Dornstadt
34,Präg Energiedienstleistungen GmbH & Co. KG
35,Ehrle Consulting GmbH
36,Shisha Cloud GmbH
37,Henryk Führer
38,Angela Rapp
39,Golf Club Ulm e.V.
40,Bossard Deutschland GmbHwww.bossard.de
41,Julian Ruepp
42,TM Carports
43,Zweckverband Region Schwäbische Alb
44,EWE Go GmbH
45,IONITY GmbH
46,BP Europa SE
47,HUMMEL Systemhaus GmbH & Co. KG
48,Fahrzeugtechnik Schulz
49,Tesla Germany GmbH
50,E.ON Drive Infrastructure GmbH
51,Patrick  Feil
52,Autohaus Bosch GmbH
53,Autohaus Bosch
54,Donau-Iller Bank eG
55,Manfred Lehner
56,TGS UG - Parkhaus Sternplatz Ehingen
57,Landgasthof Krone
58,Berg Brauerei Ulrich Zimmermann GmbH & Co.KG
59,Mundal Fenster- u. Fassaden-Technik GmbH
60,Bernhard Schneider Vermietungen
61,Autohaus Vögtle & Waibel
62,Heidenreich Technology Consulting
63,Otmar  Ruff
64,Autohaus Selig GmbH
65,Autohaus Schaude
66,deer GmbH
67,Pfalzwerke AG
68,Reitter Wasserkraftanlagen GmbH & Co. KG
69,Famfa Immobilien KG
70,Gemeinde Unterstadion
71,A & S Ludwig GbR
72,VINOTHEUM
73,Parkraumgesellschaft Baden-Württemberg GmbH
74,SMATRICS GmbH & Co KG
75,Landratsamt Biberach (Körperschaft des öffentlichen Rechts)
76,Stefan Diem
77,e.wa riss GmbH & Co. KG
78,Patrick Santherr
79,Autohaus Moll GmbH
80,Autohaus Munding GmbH
81,Liebherr Biberach
82,Schoch Automobile e. K.
83,Horst Schilling
84,Schussenrieder Bierkrugmuseum GmbH & Co. KG
85,JaKo Baudenkmalpflege GmbH
86,Köpf Fahrzeugbau GmbH
87,Autohaus Rapp GmbH & Co KG
88,Auto Brugger GmbH
89,Gasthof Adler Äpfingen
90,Michael Gsimbsl
91,Petra Rudischhauser
92,Tobias Hagmann
93,Safe Select
94,Plasma Plus GmbH & Co.KG
95,Jochen Kreß
96,Ladepunkt Fahrschule
97,Volker Warth
98,Tobias  Kopf
99,Schuh-Schweizer GmbH
100,Michael Maly
101,Moujahed Akel Injerini
102,Reinhold Hecht
103,AutoCenter Benz GmbH
104,Autohaus Humm GmbH
105,Bräuer-Fenster BF Fensterbau GmbH
106,Hotel Oberschwäbischer Hof GbR
107,Oliver Straub
108,Endlichhofer Elektrotechnik GmbH & Co. KG
109,M Siegl
110,Peter Käßmeyer
111,E-Mobility Ladekonzepte GmbH
112,Steinhart & Kraus GmbH & Co. KG
113,Gasthof Löwen
114,Thomas Wahl
115,Ulrich Reck
116,Fensterle Beton- und Fertigteilwerk GmbH
117,Mercedes-Benz AG
118,Vereinigte Volksbanken eG
119,Innovative Haustechnik
120,Tommy Lipski
121,Hahn Automobile GmbH & Co. KG
122,Stadtwerke Böblingen GmbH & Co. KG
123,Claus Heinemann Elektroanlagen GmbH
124,e-jIn GmbH
125,Mercedes- Benz AG - Niederlassung Stuttgart
126,Hahn Sportwagen Böblingen GmbH
127,IKEA Deutschland GmbH & Co.KG
128,Kaufland Dienstleistung GmbH & Co. KG
129,Stadtwerke Sindelfingen GmbH
130,Fernwärme Transportgesellschaft mbH
131,Autohaus Staiger GmbH
132,b2b energy GmbH
133,Sedic GmbH
134,Martin Pointner
135,GSV Weeber GmbH & Co. KG
136,Hotel Gasthof Hasen GmbH
137,Mer Germany GmbH
138,Geiger Energietechnik GmbH
139,Autohaus Weeber GmbH
140,Teckwerke Bürgerenergie eG
141,Andreas Teuscher
142,Axel Meyer-Hübner
143,Bernhard Socha
144,Eric Liebau
145,Rainer Dittus
146,xalino GmbH
147,Hotel Restaurant Kaiser
148,Frank Holzapfel
149,Sebastian Strobach
150,Autohaus Maurer GmbH
151,Wash & Service
152,Elektro Breitling GmbH
153,Sazinger
154,eMobility Service Weyand
155,Autohaus Baun GmbH
156,Reiner Glaser
157,Auto Bebion GmbH
158,Autobahn Tank und Rast GmbH
159,Autohaus Steegmüller GmbH
160,ecowerk e-charge GmbH
161,Stadt Waldenbuch
162,ARAMIS Hotel- und Freizeit GmbH
163,Ralf Arnold
164,ARAMIS Hotel und Freizeit GmbH
165,Bügerenergie Nordschwarzwald e.G.
166,Bürgerenergie Nordschwarzwald e.G.
167,Lars Hefenbrock
168,JETTZ - Jettinger Zentrum für Physiotherapie und Gesundheitssport
169,Rolf Dietrich Fackelmeyer
170,Gmeinde Ehningen
171,Jürgen Sedic Videoproduktion Soft- und Hardwarehandel (Einzelunternehmen)
172,Markus Ganzmann GmbH
173,Florian  Keitgen
174,Prüfstelle-Nufringen
175,Elisabeth Wörner
176,Gemeinde Altdorf
177,Rolf Benz AG & Co. KG
178,Mario Gnahs
179,Stadtwerke Ludwigsburg-Kornwestheim GmbH
180,Robert Bosch GmbH
181,Jolt Energy GmbH
182,GP Joule Connect GmbH
183,Karl-Heinz Jonek
184,Karl Heinz Jonek Einzelunternehmen
185,Rolf  Wessinger
186,Karin Haug
187,Kai Riemer
188,Autohaus Weeber Gmbh & Co. KG
